scientific_name,name_correction,generic_species
Icterus graduacauda,,
Icterus gularis,,
Icterus parisorum,,
Icterus pectoralis,,
Icterus pustulatus,,
Icterus sp.,Icterus galbula,1
Icterus spurius,,
Icterus wagleri,,
Ictinia mississippiensis,,
Ixobrychus exilis,,
Ixoreus naevius,,
Jacana spinosa,,
Junco hyemalis,,
Junco hyemalis [oreganus Group],Junco hyemalis,
Junco hyemalis aikeni,,
Junco hyemalis caniceps,,
Junco hyemalis cismontanus,,
Junco hyemalis dorsalis,,
Junco hyemalis hyemalis/carolinensis,Junco hyemalis hyemalis,
Junco hyemalis hyemalis/carolinensis/cismontanus,Junco hyemalis hyemalis,
Junco hyemalis mearnsi,,
Junco hyemalis mearnsi x caniceps,Junco hyemalis mearnsi,
Junco hyemalis oreganus x caniceps,Junco hyemalis oreganus ,
Junco hyemalis oreganus x mearnsi,Junco hyemalis oreganus,
Junco hyemalis x Zonotrichia albicollis,Junco hyemalis hyemalis,
Junco hyemalis/phaeonotus,Junco hyemalis hyemalis,
Junco phaeonotus,,
Lagopus lagopus,,
Lagopus leucura,,
Lagopus muta,,
Lagopus sp.,,
Lampornis clemenciae,,
Lanius excubitor,,
Lanius excubitor borealis/invictus,Lanius excubitor,
Lanius ludovicianus,,
Lanius ludovicianus/excubitor,Lanius ludovicianus,
Lanius sp.,Lanius ludovicianus,1
Larinae sp.,Larus argentatus,1
Larus argentatus,,
Larus argentatus smithsonianus,,
Larus argentatus x fuscus,Larus argentatus,
Larus argentatus x glaucescens,Larus argentatus,
Larus argentatus x hyperboreus,Larus argentatus,
Larus argentatus x marinus,Larus argentatus,
Larus argentatus x thayeri,Larus argentatus,
Larus argentatus/thayeri,Larus argentatus,
Larus californicus,,
Larus californicus albertaensis,,
Larus californicus californicus,,
Larus canus,,
Larus canus brachyrhynchus,,
Larus canus canus,,
Larus crassirostris,,
Larus delawarensis,,
Larus dominicanus,,
Larus fuscus,,
Larus fuscus fuscus,,
